,type,price,deposit,private_owner,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7294,Penthouse,5500,1.0,False,250,,5th,2015.0,north,2,2,True,True,False,True,True,True,True,True,True,False,False,False,Centro,Chueca-Justicia,28004.0,7 November,,,
7295,Flat,2500,1.0,False,60,55.0,1st,2017.0,,1,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Malasaña-Universidad,28004.0,8 September,Calle del Barco,40.4220808,-3.7026213
7296,Flat,1890,,False,50,,4th,,,1,1,True,True,False,True,True,False,False,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,28 December,4,40.4224787,-3.6952165
7297,Flat,2970,,False,49,,5th,,,1,1,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,11 January,Pointer Madrid,40.4251896,-3.692052
7298,Studio,850,2.0,False,22,,1st,1900.0,east,0,1,True,True,False,True,True,True,False,False,False,False,False,False,Centro,Malasaña-Universidad,28004.0,6 November,Kinda Kinks,40.4267724,-3.7021756
7299,Studio,1200,2.0,True,72,70.0,ground,,north,0,1,True,True,False,True,True,True,False,False,False,False,False,False,Centro,Lavapiés-Embajadores,28012.0,23 October,12,40.4101532,-3.6998935
7300,Flat,2100,2.0,False,71,,4th,,,1,1,True,True,False,True,True,True,True,True,True,False,False,False,Centro,Malasaña-Universidad,nan,15 October,Calle de los Reyes,40.4243092,-3.7088001
7301,Flat,2970,,False,72,,ground,,,1,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,23 September,Calle de Atocha,40.4120613,-3.6986154
7302,Flat,3780,,False,150,,2nd,,,2,2,True,True,False,True,True,True,True,False,True,False,True,False,Centro,Lavapiés-Embajadores,28012.0,23 September,Calle de Atocha,40.4120613,-3.6986154
7303,Flat,3105,,False,96,,1st,,,2,2,True,True,False,True,True,True,True,False,True,False,True,False,Centro,Lavapiés-Embajadores,28012.0,5 May,Calle de Atocha,40.4120613,-3.6986154
7304,Flat,5500,,False,229,,2nd,,,4,2,True,True,False,True,True,False,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,18 July,Banco de España,40.4218088,-3.692572
7305,Flat,4920,,False,137,,3rd,,,4,3,True,True,False,True,True,True,False,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,6 May,18,40.422442,-3.6935958
7306,Flat,3645,,False,121,,3rd,,,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,23 September,Calle de Atocha,40.4120613,-3.6986154
7307,Flat,3375,,False,102,,3rd,,,2,2,True,True,False,True,True,True,True,False,True,False,True,False,Centro,Lavapiés-Embajadores,28012.0,23 September,Calle de Atocha,40.4120613,-3.6986154
7308,Flat,3645,,False,148,,1st,,,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,23 September,Acid Bakehouse,40.4124253,-3.700367
7309,Flat,2169,2.0,False,70,,2nd,,,1,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,nan,5 November,Calle de los Reyes,40.4243092,-3.7088001
7310,Flat,1200,2.0,False,38,,1st,1900.0,east,1,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,6 November,Hostal río miño,40.420778,-3.6982925
7311,Flat,1300,,False,40,,5th,,,1,1,True,True,False,True,True,True,False,False,False,False,False,False,Centro,Sol,nan,13 October,Adhesión de España a las Comunidades Europeas,40.4149176,-3.7060271
7312,Flat,2600,2.0,False,110,85.0,4th,,west,2,2,True,True,True,True,True,True,True,False,False,False,False,False,Centro,Lavapiés-Embajadores,28012.0,15 September,Unificación Comunista de España,40.4069101,-3.7049708
